keywords,answer_en,answer_ta,answer_hi
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"தக்காளி விதைப்பதை வெப்ப பருவ தொடக்கத்தில் செய்யுங்கள்: மிதமான பகுதிகளில் வसந்தத்தில், கடைசி பனியிலிருந்து பிறகு விதைக்க வேண்டும். 4–6 உண்மையான இலைகள் இருக்கும் போது மாற்று நட்டு; 25–30°C பகல் வெப்பநிலையை பராமரிக்கவும்.",टमाटर की बुवाई गर्म मौसम की शुरुआत में करें: समशीतोष्ण क्षेत्रों में वसंत में और अंतिम ठंढ के बाद रोपण करें। 4–6 असली पत्तियों वाले पौधों को प्रत्यारोपित करें; दिन का तापमान 25–30°C रखें।
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",தக்காளிக்கு 25–30°C பகல் வெப்பநிலை மற்றும் 18–20°C இரவு வெப்பநிலை பிடிக்கும். பனி மற்றும் நீண்ட மழையை தவிர்க்கவும்; இது மலர்ச்சி சிதைந்தல் மற்றும் நோய்களை உண்டாக்கும்.,टमाटर को 25–30°C दिन और 18–20°C रात के तापमान पसंद हैं। ओलावृष्टि और लगातार भारी बारिश से बचें।
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,தக்காளிக்கு மண் சமமாக மூடராமல் நீர்ப்பாசனம் செய்யுங்கள்; நீர் நிறைவாக இருக்கவேண்டாம். நீர் திறமைக்காக டிரிப் பாசனம் பயன்படுத்து; இலை நோய்களை குறைக்க அடிப்படையில் நீர் கொடுங்கள்.,टमाटर को नियमित रूप से सींचें ताकि मिट्टी समान रूप से नम रहे; जलभराव न होने दें। ड्रिप सिंचाई उपयोगी है और पत्तियों पर पानी न डालें।
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",மண் சோதனை அடிப்படையில் சமநிலை உரம் பயன்படுத்தவும். பொதுவாக N-P-K பிரிக்கப்பட்ட முறை பயன்படுத்த வேண்டும்; அறுவடைக்கு அருகில் அதிக நைட்ரஜனைத் தவிர்க்கவும்; கம்போஸ்ட் பழத்தின் தரத்தை மேம்படுத்தும்.,मिट्टी परीक्षण के आधार पर संतुलित उर्वरक दें। सामान्यतः N-P-K को विभाजित मात्रा में दें; कटाई के पास अधिक नाइट्रोजन से बचें; जैविक खाद फल की गुणवत्ता बढ़ाती है।
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use integrated pest management: monitor, use pheromone traps, neem oil, and release beneficial insects. Remove severely infested plants.","பொதுவான பூச்சிகள்: பழச்சிவப்பு, வெள்ளை ஈ, இலை சுருங்கல். ஒருங்கிணைந்த பூச்சி மேலாண்மை (IPM) பின்பற்றுங்கள்: கண்காணிப்பு, பெரோமோன் காப்புகள், நீம் எண்ணெய் மற்றும் பயனுள்ள பூச்சிகளை அறுவை விடுங்கள்.","आम कीट: फल छेदक, सफेद मक्खी, पत्ती खनन करने वाले। IPM अपनाएँ: मॉनिटरिंग, फेरोमोन ट्रैप, नीम तेल और उपयोगी कीट छोड़ें।"
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow and reduce fungal issues.,வெஞ்ஞல் வெப்ப பருவங்களில் வளர்க்கவும்; 6–8 வாரங்கள் கழித்து மாற்று நட்டு. காற்றோட்டம் ஏற்பட இடைவெளி வைக்கவும்.,बैंगन गर्म मौसम में लगाएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें। हवा का प्रवाह सुनिश्चित करने के लिए दूरी रखें।
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious: adopt pheromone traps, timely insecticide application as per extension advice, and remove infested fruits. Crop rotation helps long-term control.",வெஞ்ஞலில் பழச்சிவப்பு பிரச்சனை: பெரோமோன் காப்புகள் மற்றும் பரிந்துரைக் கூடிய நேரத்தில் பூச்சிக் கொல்லி பயன்படுத்து; பாதிக்கப்பட்ட பழங்களை அகற்று.,बैंगन में फल छेदक समस्या: फेरोमोन ट्रैप और समय पर कीटनाशक का उपयोग करें; संक्रमित फलों को हटाएँ।
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow seeds in rows after the last frost and thin seedlings for proper spacing. Regular weeding and mulching improve yields.,வெப்பமான வானிலையில் வெந்நீலா சிறப்பாக வளரும்; கடைசி பனியிற்சியைத் தொடர்ந்து விதைகள் விதைக்கும் மற்றும் இடைவெளியை சரி செய்ய அகற்றவும்.,भिंडी गर्म मौसम में अच्छी होती है; अंतिम ठंढ के बाद बुवाई करें और उचित दूरी रखें।
"okra pests,okra disease,lady finger pests",Common problems: aphids and fruit borers. Use neem spray and maintain good field hygiene. Intercropping with maize can reduce pest pressure.,பொதுவான பிரச்சனைகள்: அஃபிட்ஸ் மற்றும் பழச்சிவப்பு. நீம் தெளிப்பு மற்றும் நன்கு பராமரிப்பு செய்யவும்.,आम की समस्याएँ: एफिड्स और फल छेदक। नीम का छिड़काव करें और खेत की सफाई रखें।
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons with well-drained loamy soils. Use certified seed tubers, plant at correct depth, and hill soil around stems after emergence.",குளிர் பருவத்தில் சிறந்த வடிகால் கொண்ட லோமி மண்ணில் உருளைக்கிழங்கு நடுத்தலை செய்யுங்கள். சான்றுத் தகுதியான விதைகளை பயன்படுத்தவும்.,आलू ठंडे मौसम में अच्छी पैदावार देता है; प्रमाणित बीज कंदों का उपयोग करें और सही गहराई पर लगाएँ।
"potato pests,potato late blight,potato disease control","Late blight is major: use certified seed, apply recommended fungicides at early signs, and remove infected plants. Maintain field drainage to reduce disease risk.",விலையீட்டுப் பூச்சி (late blight) பெரியது: சான்று விதைகள் மற்றும் நோய் ஆரம்பத்தில் பரிந்துரைக்கப்பட்ட பூச்சி மருந்துகளைப் பயன்படுத்தவும்.,लेट ब्लाइट गंभीर रोग है: प्रमाणित बीज और शुरुआती लक्षणों पर कवकनाशी लगाएँ।
"onion planting,when to plant onion,onion sowing season",Onion prefers cool season with well-drained soils. Use transplants or direct seed depending on variety; ensure adequate nitrogen early and potassium towards bulb formation.,வெள்ளரிக்காய் (இஞ்சி) குளிர் பருவத்தில் மற்றும் நல்ல வடிகால் கொண்ட மண்ணை விரும்பும். வகைப் பொருத்தமாக மாற்று விதை அல்லது நேரடி விதை பயன்படுத்தவும்.,प्याज़ ठंडे मौसम में अच्छी होती है; किस्म के अनुसार प्रत्यारोपण या सीधा बुवाई करें। नाइट्रोजन पहले और पोटाशियम बल्ब बनने के समय दें।
"onion pests,onion thrips,onion disease","Onion thrips and fungal rots cause yield loss. Use tolerant varieties, avoid excessive irrigation, and apply recommended insecticides when threshold crossed.",வெள்ளரிக் கீறுபவர்கள் மற்றும் பூச்சிய நோய்கள் உற்பத்தி குறைவு செய்யும். சகிப்புத் திறன் உடைய வகைகள் உபயோகிக்கவும்.,प्याज़ में थ्रिप्स और फफूंदीय रोग होते हैं। सहनशील किस्में और नियंत्रित सिंचाई अपनाएँ।
"chilli planting,when to plant chili,chili sowing time",Sow chilli seedlings in warm season; transplant after 6–8 weeks. Ensure nutrient-rich soil and balanced NPK; harvest after color change depending on variety.,மிளகாய் விதைகள் வெப்ப காலத்தில் விதைக்கவும்; 6–8 வாரங்களுக்கு பிறகு மாற்று நட்டு. சமநிலை NPK வழங்கவும்.,मिर्च गर्म मौसम में बोएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें और संतुलित NPK दें।
"chilli pests,chili disease management,chilli viral disease","Chilli suffers from viral, bacterial and thrips problems. Rogue infected plants, use virus-free seedlings, and practice crop rotation and reflective mulches to reduce aphids/thrips.","மிளகாய் வைரஸ், பேக்டீரியா மற்றும் த்ரிப்ஸ் பாதிப்பு கூடும். பாதிக்கப்பட்ட செடிகளை அகற்றி, வைரஸ் இலையியல் விதைகள் பயன்படுத்தவும்.","मिर्च में वायरस, बैक्टीरिया और थ्रिप्स की समस्या होती है। संक्रमित पौधों को हटाएँ और वायरस-रहित पौधे उपयोग करें।"
"mango flowering,mango flowering season,when does mango flower",Mango typically flowers in late winter to early spring depending on variety and climate. Manage irrigation and nutrition before flowering to encourage heavy bloom and fruit set.,மாம்பழம் பருவம் மற்றும் வகையைப் பொருத்து குளிர்காலம் முடிவில் அல்லது ஒன்காலத்தில் மலர்கிறது. மலர்ப்புக்கு முன் சாக்பதி மற்றும் நீர் மேலாண்மையை கவனியுங்கள்.,आम आमतौर पर देर सर्दी से बसंत के आरम्भ में खिलता है; फूल आने से पहले सिंचाई और पोषण प्रबंधन आवश्यक है।
"mango pests,mango anthracnose,mango fruit fly","Mango fruit fly and anthracnose cause major losses. Use sanitation, fruit bagging where possible, and apply recommended fungicides and baiting for fruit fly control.",மாம்பழ பிளை மற்றும் ஆன்ட்ரக்னோஸ் பிரச்சினைகள் மிக பெரியது. சுத்தம் மற்றும் பழ பைகளைப் பயன்படுத்தவும்.,आम में फलों के कीड़े और एंन्थ्रैकनोस समस्या है। स्वच्छता और बैगिंग से बचाव करें।
"banana planting,when to plant banana,banana propagation","Plant banana suckers of appropriate age (12–18 months). Ensure deep fertile soil, regular irrigation and mulching; remove diseased suckers to prevent spread.","வாழைக்கு 12–18 மாத வயதுடைய சக்கரங்களை நடு. ஆழமான, உரமான மண் மற்றும் மழை நீர் தேவையாய் இருக்க வேண்டும்.",केले को 12–18 महीने उम्र के सुकरों से लगाएँ; गहरी उपजाऊ मिट्टी और नियमित सिंचाई अनिवार्य है।
"banana pests,banana bunchy top,banana nematode","Banana nematodes and bunchy top virus reduce yields. Use clean planting material, nematicides where recommended, and maintain field sanitation.",வாழையில் நெமாட் மற்றும் பச்சை முக நோய் விளைச்சலை குறைக்கும். தூய விதைகள் பயன்படுத்தவும்.,केले में नीमैटोड़ और बन्ची टॉप वायरस नुकसान पहुंचाते हैं। साफ सामग्री और मैदान की सफाई रखें।
"guava care,guava pruning,guava pests",Guava requires light pruning to shape trees and improve air flow; use balanced fertilizers and control fruit flies with timely harvest and sanitation.,"கோவா மரங்களுக்கு இலகு வெட்டுதல், சரியான உரம் வழங்குதல் மற்றும் பழப்பறிப்பு மற்றும் சுத்தம் மூலம் பழ பறவை கட்டுப்பாடு செய்யவும்.",अमरूद को आकार देने के लिए हल्की छंटाई करें; संतुलित उर्वरक दें और फल मक्खी नियंत्रण रखें।
"papaya planting,papaya care,papaya disease",Papaya prefers well-drained soil and regular watering; use disease-free seedlings and stake young plants. Protect from wind and high rainfall during fruiting.,பப்பாளி நன்கு வடிகால் கொண்ட மண்ணில் வளர்க்கவும்; நோயில்லா விதைகள் மற்றும் சிறிய செடிகளை உறுதிசெய்க.,पपाया को अच्छी जलनिकासी वाली मिट्टी चाहिए; रोगमुक्त पौधे लगाएँ और फल आते समय तेज हवाओं से बचाएँ।
"pomegranate care,pomegranate irrigation,pomegranate pests",Pomegranate thrives in semi-arid regions; moderate irrigation during fruit development and light pruning improve yields. Watch for fruit rot in humid conditions.,மாதுளை எதிரொலி பகுதிகளில் சிறந்தது; பழ வளர்ச்சியின் போது ஒழுங்கான பாசனம் மற்றும் இலையச்சியைச் செய்யுங்கள்.,अनार अर्ध-शुष्क क्षेत्रों में अच्छा लगता है; फल वृद्धि में मध्यम सिंचाई और हल्की छंटाई करें।
"coconut care,coconut irrigation,coconut nutrition",Coconut palms need deep watering in sandy soils and regular potassium application. Provide shade for young palms and manage mealybugs and rhinoceros beetle.,தேங்காய்க்கு மணல் மண்ணில் ஆழமான நீர் மற்றும் பொட்டாசியம் தேவை. இளம் மரங்களுக்கு நிழலை வழங்கவும்.,नारियल के पेड़ों को गहरी सिंचाई और पोटैशियम की आवश्यकता होती है। छोटे पौधों को छाया दें।
"okra care,okra planting,okra pests","Okra grows well in warm, well-drained soils; thin seedlings and harvest frequently to encourage continuous production.","செவ்வகத்தில் வெப்பமான, நன்கு வடிகால் கொண்ட மண்ணில் நல்ல விளைவு தரும்; விதைகளை அகற்றவும் மற்றும் அடிக்கடி அறுவடையிடவும்.",भिंडी गर्म और अच्छी जलनिकासी वाली मिट्टी में अच्छी होती है; पौधों को ठीक से दूरी पर लगाएँ।
"spinach care,spinach planting,spinach pests","Spinach prefers cool weather and regular moisture; harvest outer leaves to allow continuous regrowth, and use compost for healthy greens.",பர்கலை குளிர்ச்சியான வானிலை மற்றும் சீரான ஈரப்பதம் விரும்பும்; உட்பக்க இலைகளை அறுவடை செய்யுங்கள்.,पालक को ठंडा मौसम और नियमित नमी पसंद है; बाहरी पत्ते काटकर उगाएँ।
"cabbage care,cabbage planting,cabbage pests",Cabbage grows in cool climates; maintain soil fertility and control cabbage pests such as caterpillars with biological controls.,கேபேஜ் குளிர் பருவங்களில் வளர்க்கவும்; பூச்சிகளை கட்டுப்படுத்த உயிரியல் முறைகள் பயன்படுத்தவும்.,पत्ता गोभी ठंडे मौसम में बढ़ती है; कीड़ों से जैविक नियंत्रण रखें।
"lettuce care,lettuce planting,lettuce pests",Lettuce prefers cool and shaded conditions; use frequent watering and light fertilization for crisp heads.,லெட்டுஸ் குளிர் மற்றும் நிழலான சூழலில் நன்கு வளரும்; அடிக்கடி நீர் மற்றும் சிறிய உரம் பயன்படுத்தவும்.,लेट्यूस ठंडे और आंशिक छाया वाले स्थानों में अच्छा उगता है; नियमित पानी दें।
"cucumber care,cucumber planting,cucumber pests",Cucumber likes warm weather and trellising; provide consistent moisture and protect from powdery mildew.,வெள்ளரிக்காய் வெப்பத்தை விரும்பும்; மிதமான ஈரப்பதம் மற்றும் பூஞ்சை நோய்களை கவனிக்கவும்.,खीरा गर्म मौसम और ट्रीलिसिंग पसंद करता है; नियमित नमी रखें।
"bottle gourd care,bottle gourd planting,bottle gourd pests",Bottle gourd requires trellis support and regular watering; harvest fruits young for best taste.,சர்க்கரை குலுக்கை போன்ற காய்கறிகள் துரித வளர்ச்சிக்காக துருவைப் பொருத்தும்; இனிமையான தண்டு வாழைப்பழங்களை சிறிய நிலையில் அறுவடை செய்யவும்.,लौकी को सहारे और नियमित पानी की आवश्यकता होती है; फल छोटे अवस्था में काटें।
"beetroot care,beetroot planting,beetroot pests",Beetroot prefers deep loose soil and consistent moisture; thin seedlings and harvest when roots reach market size.,"பீட்ரூட் ஆழமான, தளர்ந்த மண்ணையும் சமமாக ஈரப்பதத்தையும் விரும்பும்; விதைகளைக் குறைக்கவும்.",चुकंदर गहरी ढीली मिट्टी और नियमित नमी पसंद करता है; पौधों को समय पर छांटें।
"guava care,guava pests,guava planting",Guava grows in a wide range of soils; prune to maintain tree shape and harvest fruits at full color for best flavor.,கோவா பல்வேறு மண்ண்களில் வளரும்; மரத்தை வடிவமைக்கக் கிழித்தல் செய்யவும்.,अमरूद विभिन्न मिट्टियों में उगता है; आकार बनाए रखने के लिए छंटाई करें।
"papaya care,papaya pests,papaya planting",Papaya needs well-drained soil and regular watering; protect from strong winds and use staking for tall varieties.,பப்பாளி நல்ல வடிகால் பட்ஊர்மணிக்கு மற்றும் முறையான நீர் தேவை.,पपाया को अच्छी जलनिकासी और नियमित पानी चाहिए; तेज हवा से बचाएँ।
"pomegranate care,pomegranate pests,pomegranate planting",Pomegranate thrives in semi-arid climates; light pruning and moderate irrigation during fruiting give good yields.,மாதுளை அரை வறண்ட பகுதிகளில் சிறந்தது; சிறிய வெட்டுதல் மற்றும் மிதமான பாசனம் பயனாகும்.,अनार अर्ध-शुष्क जलवायु में अच्छा होता है; हल्की छंटाई और मध्यम सिंचाई करें।
"grapes care,grapes pests,grapes planting","Grapes require trellis systems, regular pruning and good sunlight; monitor for fungal diseases in humid areas.","திராட்சை மண்டபம் தேவை, வழக்கமான வெட்டுதல் மற்றும் நல்ல சூரிய ஒளி தேவை.",अंगूरों को ट्रीलिसिंग और नियमित छंटाई की जरूरत होती है; आद्रता में फफूंदी का ध्यान रखें।
"apple care,apple pests,apple planting",Apple prefers temperate climates and chilling hours; select suitable cultivars and manage pests and blossom thinning for quality fruit.,ஆப்பிள் குளிர் பருவத்தில் சிறந்தது; சரியான வகைகளை தேர்ந்தெடுத்து பூச்சிகளை கட்டுப்படுத்து.,सेब समशीतोष्ण जलवायु में अच्छा होता है; उपयुक्त किस्म चुनें और फूलों की छंटाई करें।
"teak care,teak planting,teak pests",Teak requires well-drained soils and protection in early years; manage spacing for timber quality and control weeds regularly.,தீக் மரத்திற்கு நல்ல வடிகால் மண் மற்றும் ஆரம்ப ஆண்டு பாதுகாப்பு அவசியம்.,टीक को अच्छी जलनिकासी और शुरुआती वर्षों में सुरक्षा चाहिए; अंतराल बनाए रखें.
"eucalyptus care,eucalyptus planting,eucalyptus pests",Eucalyptus grows fast in a range of soils; manage harvest cycles and watch for excessive water uptake in shallow soils.,ஈucalyptus வேகமாக வளர்ந்து பல்வேறு மண் வகைகளில் வளரும்; அறுவடை காலங்களை சீராக்கவும்.,यूकेलिप्टस तेजी से बढ़ता है; जमीनी पानी पर ध्यान दें।
"neem care,neem planting,neem pests",Neem is drought tolerant and useful for integrated pest management; use leaves and cake as organic inputs.,நீம் வறட்சிக்குத் தகுதியானது மற்றும் பூச்சி மேலாண்மையில் பயனுள்ளது.,नीम सूखे सहनशील है और कीट नियंत्रण में उपयोगी है।
"moringa care,moringa planting,moringa pests",Moringa grows quickly in dry areas and is nutrient-rich; prune regularly and harvest leaves for nutrition.,முருங்கை உலர் பகுதிகளில் விரைவாக வளரும் மற்றும் சத்தானது.,सहजन (मोरिंगा) सूखे इलाकों में उगता है और पौष्टिक होता है।
"soil testing,soil testing benefits",Soil testing every 1-2 years helps determine nutrient needs and pH; follow soil-test recommendations for fertilizer application.,ஒவ்வொரு 1-2 ஆண்டிலும் மண் சோதனை மூலம் உர தேவைகள் மற்றும் pH அடையாளம் காணலாம்.,1-2 साल में मिट्टी परीक्षण करें और रिपोर्ट के अनुसार उर्वरक दें.
"compost,compost benefits","Compost improves soil structure, water holding and provides slow-release nutrients; apply compost before planting or as a top dressing.",கம்போஸ்ட் மண் அமைப்பை மேம்படுத்த உதவும் மற்றும் மெதுவாக ஊட்டச்சத்துகளை வழங்கும்.,खाद मिट्टी की बनावट और पानी धारण क्षमता बढ़ाती है; बोने से पहले डालें.
"drip irrigation,drip irrigation benefits",Drip irrigation saves water and improves yield by supplying moisture at root zone; ideal for vegetables and orchards.,டிரிப் பாசனம் நீரை மிச்சப்படுத்தும் மற்றும் வேர்வளத்தில் நீர் அளிக்கும்.,ड्रिप सिंचाई पानी बचाती है और जड़ों तक सीधे पानी देती है।
"green manure,green manure benefits","Green manures (sesbania, sunn hemp) add organic matter and nitrogen; incorporate before sowing main crop.",பசுமை உரங்கள் நுண்ணுயிர் மற்றும் நைட்ரஜன் கொடுக்கும்; முதலில் சேர்க்கவும்.,हरी खादें जैसे सैसबानिया और सन हेम्प जैविक पदार्थ जोड़ती हैं; मुख्य फसल से पहले मिलाएँ।
"pest scouting,pest scouting benefits",Regular pest scouting helps early detection; maintain records and act using IPM thresholds to reduce pesticide use.,பூச்சி கண்காணிப்பு மூலம் ஆரம்ப கட்டத்தில் கண்டறிய முடியும்; IPM அடிப்படையில் நடவடிக்கை எடுக்கவும்.,नियमित कीट निरीक्षण से शुरुआती पहचान होती है; IPM पर काम करें।
fertilizer for paddy,Apply basal dose at transplanting and split nitrogen during tillering and panicle initiation stages; follow soil test rates.,நெலுக்கு முதலில் விதைப்ப સમયે அடிப்படை உரம் மற்றும் நடுவணங்களில் நைட்ரஜன் பிரித்து கொடு.,धान में बेसल और टीलरिंग के समय विभाजित नाइट्रोजन दें।
fertilizer for maize,Apply N in split doses and base P and K at planting; use soil test to adjust rates.,"மக்காச்சோளுக்கு நைட்ரஜன் பிரிக்கப்பட்ட அளவில் கொடுத்து, P மற்றும் K ரோபத்தோடு சேர்க்கவும்.","मक्का को विभाजित नाइट्रोजन और बेसल P,K दें।"
"post harvest storage,postharvest handling,storage of grains","Post-harvest handling: dry grains to safe moisture level, clean storage, use airtight containers or silos and monitor for pests. Good handling preserves quality.",அறுவடைப்பின் பிந்தைய சிக்கல்கள்: தானியங்களைப் பாதுகாப்பு ஈரப்பதம் குறைக்கவும் மற்றும் பூச்சிமருந்து கண்காணிக்கவும்.,फसल के बाद की हेंडलिंग: अनाज को सुरक्षित नमी पर सुखाएं और कीट निगरानी रखें।
"certified seeds,seed selection,quality seeds","Use certified, disease-free seeds or seedlings to ensure healthy stands and higher yield; source from trusted suppliers and follow spacing recommendations.",சான்றளிக்கப்பட்ட நோய் இல்லாத விதைகள் பயன்படுத்தவும்; நம்பகமான சப்ளையர்களிடமிருந்து வாங்கவும்.,प्रमाणित और रोगमुक्त बीज लें; विश्वसनीय आपूर्तिकर्ता से खरीदें।
"hello,hi,good morning,வணக்கம்,नमस्ते","Hello! 👋 I’m your AgriBot — ask me about crops, soil, pests, irrigation or fertilizers.","வணக்கம்! 👋 நான் உங்கள் அக்க்ரோபாட் — பயிர்கள், மண், பூச்சிகள் பற்றிக் கேளுங்கள்.","नमस्ते! 👋 मैं आपका एग्रीबॉट हूँ — फसल, मिट्टी, कीट या सिंचाई के बारे में पूछें।"
"thank you,thanks,நன்றி,धन्यवाद",You're welcome! 😊 Glad I could help. Ask anytime.,நன்றி! 😊 உதவியதில் மகிழ்ச்சி. எப்போது வேண்டுமானாலும் கேளுங்கள்.,धन्यवाद! 😊 मदद कर पाकर खुशी हुई।
